Character,Moon,CharMoon,Move,Damage,Red Damage,Proration,Cancel,Guard,First Active,Active,Recovery,Frame Adv,TotalFrames,Circuit,Image,Image2
Akiha,Full_Moon,F-Akiha,Brilliant Impetus - Autumn Leaves (EX),"400, 1000, 1500 (1502)",(1092),"50% (O), 45% (O)","(N), (SP), (EX), (J)","LH (1-3), LHA (4)",4+3,2 (4) 5 (3) 2 (3) 5 (7) 4,43,-29,46,-100.0%,https://mizuumi.wiki/images/0/0c/MBAACC_C-Akiha_623a.png,
Akiha,Full_Moon,F-Akiha,Disposing of Beasts (A),900,606,70%,-EX-,LH,12 ~ X,2,22,-6,35,8.1%,https://mizuumi.wiki/images/9/9b/MB_F-Akiha_214A.png,
Akiha,Full_Moon,F-Akiha,Disposing of Beasts (B),500*2 (984),(694),80%,-EX-,LH,12 ~ X,2 (2) 6,26,-8,35,3.6%*2 (7.2%),https://mizuumi.wiki/images/9/9b/MB_F-Akiha_214A.png,
Akiha,Full_Moon,F-Akiha,Disposing of Beasts (EX),1000*N,858*N,60% (O),-,LH,2+14 ~ 2+X,X,2+45,-4 (min),35,-100.0%,https://mizuumi.wiki/images/9/9b/MB_F-Akiha_214A.png,
Akiha,Full_Moon,F-Akiha,Smoking Out Birds,900 (A) 1500 (B/C),505 (A) 1212 (B/C),50% (A) 70% (B/C),-,LH,51 (A/C) 52 (B),5,35,-,,9.0%,https://mizuumi.wiki/images/6/6a/MB_F-Akiha_421A.png,
Akiha,Full_Moon,F-Akiha,Glaring at the Moon (A B/C),-,-,-,-,-,-,-,40 44,-,,-,https://mizuumi.wiki/images/9/9e/MB_F-Akiha_22X.png,
Akiha,Full_Moon,F-Akiha,Glaring at the Moon (]X[ (Lv 1)),600,606,70%,-,LHA,17 ~ X,3,-,-,,5.4%,https://mizuumi.wiki/images/9/9e/MB_F-Akiha_22X.png,
Akiha,Full_Moon,F-Akiha,Glaring at the Moon (]X[ (Lv 2)),1000,808,70%,-,LHA,47 (min. Hold),8,-,-,,0.9%,https://mizuumi.wiki/images/9/9e/MB_F-Akiha_22X.png,
Akiha,Full_Moon,F-Akiha,Glaring at the Moon (]X[ (Lv 3)),600*3 (1302),(876),70%,-,LH,108 (min. Hold),10,-,-,,3.6%*3 (10.8%),https://mizuumi.wiki/images/9/9e/MB_F-Akiha_22X.png,
Akiha,Full_Moon,F-Akiha,Felling Birds (Air) (A),800,505,70% (O),-,LHA,25,4,5,17 (TK),33,5.4%,https://mizuumi.wiki/images/7/7c/MB_F-Akiha_j.236A.png,
Akiha,Full_Moon,F-Akiha,Felling Birds (Air) (B),800,505,70% (O),-,LHA,24,2,9,8 (TK),33,5.4%,https://mizuumi.wiki/images/7/7c/MB_F-Akiha_j.236A.png,
Akiha,Full_Moon,F-Akiha,Felling Birds (Air) ([B]),800*2 (1342),(847),70% (O),-,LHA,30,"1, 1",9,15 (TK),33,5.4%*2 (9.8%),https://mizuumi.wiki/images/7/7c/MB_F-Akiha_j.236A.png,
Akiha,Full_Moon,F-Akiha,Felling Birds (Air) (EX),400*8 (2848),(1436),70% (O),-,LHA,2+18,29,Until Landing+10,21 (TK),33,-100.0%,https://mizuumi.wiki/images/7/7c/MB_F-Akiha_j.236A.png,
Akiha,Full_Moon,F-Akiha,Red Mistress - Locks of Hair ((Throw) (Strike)),450*23 (3515) 300*13 (1550),(2355) (1302),50% (O),-,A LHA,3+1,"1 (4), 2 x13",44,-31 ~ -9,78,removes all,https://mizuumi.wiki/images/1/1f/MB_H-Akiha_AD_Throw.png,
Akiha,Full_Moon,F-Akiha,Red Mistress - Locks of Hair ((Throw) (Strike)),"450*27, 500*15 (3957) 400*13, 1400*3 (3384)",(2531) (2923),50% (O),-,U (Whiffs vs Air.) LHA,2+3,"1 (4), 2 x13",44,-30 ~ -27,79,removes all,https://mizuumi.wiki/images/f/fb/MB_C-Akiha_AAD_Throw.png,
Akiha,Full_Moon,F-Akiha,Red Mistress - Blazing Flower,17900 (3369 ~ 6838),(2800 ~ 5360),50% + 50% * remaining BH time,-,LHA,2+3,X,42,32,46,removes all,https://mizuumi.wiki/images/e/e2/MB_C-Akiha_LA.png,
Akiha,Half_Moon,H-Akiha,5A (5A),300,115,75% (O),"-SE-, -N-, -SP-, -EX-, (J)",LH,5,3,8,1,15,2.1%,https://mizuumi.wiki/images/a/ad/MB_H-Akiha_5A.png,
Akiha,Half_Moon,H-Akiha,5A (5A~6A),600,384,80% (M),"N, SP, EX (J)",LH,8,4,16,-5,15,4.2%,https://mizuumi.wiki/images/a/ad/MB_H-Akiha_5A.png,
Akiha,Half_Moon,H-Akiha,5A (5A~6A~6A),1000,768,60% (O),"(N), SP, EX (J)",LH,10,4,15,-1,15,7.0%,https://mizuumi.wiki/images/a/ad/MB_H-Akiha_5A.png,
Akiha,Half_Moon,H-Akiha,5B (5B),650,384,100%,"N, SP, -CH-, EX, (J)",LH,8,4,14,-3,25,4.2%,https://mizuumi.wiki/images/f/f6/C-Akiha5B.png,
Akiha,Half_Moon,H-Akiha,5B (5[B]),650*3 (1888),(1116),100%,"N, SP, -CH-, EX, (J)",LH,21,"1, 4, 4",8,3,25,4.2%*3 (12.6%),https://mizuumi.wiki/images/f/f6/C-Akiha5B.png,
Akiha,Half_Moon,H-Akiha,5B (~B),400,192,70% (O),"N, SP, EX, (J)",LH,8,4,20,-6,25,1.4%,https://mizuumi.wiki/images/f/f6/C-Akiha5B.png,
Akiha,Half_Moon,H-Akiha,5C,1000,672,90% (M),"N, SP, EX, (J)",LH,11,6,15,-3,31,5.6%,https://mizuumi.wiki/images/8/81/C-Akiha5C.png,
Akiha,Half_Moon,H-Akiha,2A,350,144,75% (O),"-SE-, -N-, -SP-, -EX-, (J)",L,5,4,8,0,16,2.8%,https://mizuumi.wiki/images/c/c3/C-Akiha2a.png,
Akiha,Half_Moon,H-Akiha,2B (2B),500,249,85% (O),"N, SP, -CH-, EX, (J)",LH,7,4,15,-4,25,3.5%,https://mizuumi.wiki/images/b/ba/C-Akiha2B.png,
Akiha,Half_Moon,H-Akiha,2B (~2B),400,192,100%,"N, SP, -CH-, EX, (J)",LA,8,4,9,2,25,2.8%,https://mizuumi.wiki/images/b/ba/C-Akiha2B.png,
Akiha,Half_Moon,H-Akiha,2B (~2B~2B),500,576,75% (O),J,HA,28,4,18,-5,25,4.2%,https://mizuumi.wiki/images/b/ba/C-Akiha2B.png,
Akiha,Half_Moon,H-Akiha,2C (2C),900,490,55% (O),"N, SP, EX, (J)",L,8,4,25,-11,36,7.0%,https://mizuumi.wiki/images/6/63/Akiha_2C.png,
Akiha,Half_Moon,H-Akiha,2C (2[C]),900,768,55% (O),"N, SP, EX, (J)",L,20,5,25,-12,36,4.9%,https://mizuumi.wiki/images/6/63/Akiha_2C.png,
Akiha,Half_Moon,H-Akiha,j.A,350,192,75% (O),"SE, N, SP, EX, J",LHA,6,4,11,-,20,2.1%,https://mizuumi.wiki/images/2/20/Caki_ja.png,
Akiha,Half_Moon,H-Akiha,j.B,"400, 500 (859)",(514),95%*2 (M),"N, SP, EX, J",HA,6,"2, 6",-,-,13,"2.8%, 4.2% (7.0%)",https://mizuumi.wiki/images/8/89/Cakiha_jb.png,
Akiha,Half_Moon,H-Akiha,j.C,1000,480,90% (O) / 50% (O),"N, SP, EX, J",HA,10,4,-,-,13,7.0%,https://mizuumi.wiki/images/7/78/Fakiha_jc.png,
Akiha,Half_Moon,H-Akiha,4C,500*2 (887),(596),80% (O),"N, SP, EX, (J)",LH,8,"2, 2",26,-10,37,"4.9%, 6.3% (11.2%)",https://mizuumi.wiki/images/b/b9/Akiha_4c.png,
Akiha,Half_Moon,H-Akiha,6C,600,384,80% (O),"N, SP, EX, (J)",LH,8,4,22,-8,33,5.6%,https://mizuumi.wiki/images/6/60/Akiha_6c.png,
Akiha,Half_Moon,H-Akiha,j.2C,700,288,70% (M),"SP, EX",LHA,14,7,-,8 (TK),20,4.9%,https://wiki.gbl.gg/images/7/7b/Fakiha_j2c.png,
Akiha,Half_Moon,H-Akiha,Ground Throw,200*7 (1266),(588),100%,-,U,3,1,22,-,25,0.0%,https://mizuumi.wiki/images/a/af/MB_C-Akiha_Throw.png,
Akiha,Half_Moon,H-Akiha,Air Throw,1600 (Raw) 1000,465,30%,-,U,2,1,Until Landing+12,-,14,0.0%,https://mizuumi.wiki/images/0/05/MB_C-Akiha_Throw_Air.png,
Akiha,Half_Moon,H-Akiha,Shield Counter (Standing),500 (345),198,50%,"(SP), (EX), (J)",LHA,9,4,18,-4,30,3.5%,https://mizuumi.wiki/images/6/6f/MB_F-Akiha_236D.png,
Akiha,Half_Moon,H-Akiha,Shield Counter (Crouching),1500 (1117),714,50%,"(SP), (EX)",LA,9,4,18,-4,30,10.5%,https://mizuumi.wiki/images/6/6f/MB_F-Akiha_236D.png,
Akiha,Half_Moon,H-Akiha,Shield Counter (Aerial),500 (345),198,50%,-,HA,9,4,-,-,30,3.5%,https://mizuumi.wiki/images/6/6f/MB_F-Akiha_236D.png,
Akiha,Half_Moon,H-Akiha,Shield Bunker (Neutral),500,192,50%,-,LHA,26,4,19,-5,48,0.0%,https://mizuumi.wiki/images/9/94/MB_C-Akiha_214D.png,
Akiha,Half_Moon,H-Akiha,Shield Bunker ((Clash)),500,192,50%,-,LHA,7,4,19,-5,48,0.0%,https://mizuumi.wiki/images/9/94/MB_C-Akiha_214D.png,
Akiha,Half_Moon,H-Akiha,Shield Bunker (Blockstun),0,0,100%,-,LHA,19,3,22,-7,48,-100.0%,https://mizuumi.wiki/images/9/94/MB_C-Akiha_214D.png,
Akiha,Half_Moon,H-Akiha,Circuit Spark (Ground),100,0,100%,-,U,11,10,20,-,40,removes all,https://mizuumi.wiki/images/e/e2/MB_C-Akiha_CSpark.png,
Akiha,Half_Moon,H-Akiha,Circuit Spark (Air),100,0,100%,-,U,12,10,Until Landing+15,-,40,removes all,https://mizuumi.wiki/images/e/e2/MB_C-Akiha_CSpark.png,
Akiha,Half_Moon,H-Akiha,Plucking Birds (A),450*2 (754),(483),70% (O),-,LHA,41,X,8,10 ~ 15,48,2.1%*2 (4.2%),https://mizuumi.wiki/images/c/c3/MB_H-Akiha_236A.png,
Akiha,Half_Moon,H-Akiha,Plucking Birds (B),450*2 (754),(483),70% (O),-,LHA,40,X,3,15 ~ 20,48,2.1%*2 (4.2%),https://mizuumi.wiki/images/c/c3/MB_H-Akiha_236A.png,
Akiha,Half_Moon,H-Akiha,Plucking Birds (EX),400*8 (2848),(1368),70% (O),-J-,LHA,15+22,X,14,34,48,-100.0%,https://mizuumi.wiki/images/c/c3/MB_H-Akiha_236A.png,
Akiha,Half_Moon,H-Akiha,Brilliant Impetus - Autumn Leaves (A),"600, 800 (1282)",(533),100%,-,"LH, LHA",6,7 (3) 4,27,-13,46,"4.2%, 5.6% (9.8%)",https://mizuumi.wiki/images/0/0c/MBAACC_C-Akiha_623a.png,
Akiha,Half_Moon,H-Akiha,Brilliant Impetus - Autumn Leaves (B),"400*2, 600, 800 (1987)",(748),100%,EX (1-2),"LH (1-3), LHA (4)",9,2 (4) 2 (13) 3 (7) 4,33,-17,46,"2.8%*2, 4.2%, 5.6% (15.4%)",https://mizuumi.wiki/images/0/0c/MBAACC_C-Akiha_623a.png,
Akiha,Half_Moon,H-Akiha,Brilliant Impetus - Autumn Leaves (EX),"400, 1000, 1500 (1502)",(1038),"50% (O), 45% (O)","(N), (SP), (EX), (J)","LH (1-3), LHA (4)",4+3,2 (4) 5 (3) 2 (3) 5 (7) 4,43,-29,46,-100.0%,https://mizuumi.wiki/images/0/0c/MBAACC_C-Akiha_623a.png,
Akiha,Half_Moon,H-Akiha,Piercing the Moon(EX: Piercing the Waxing Moon) (A),600,576,70% (O),-,LH,16,8,29,-12,52,4.2%,https://mizuumi.wiki/images/a/ac/MB_C-Akiha_214AB.png,
Akiha,Half_Moon,H-Akiha,Piercing the Moon(EX: Piercing the Waxing Moon) (B),500,480,70% (O),-,LH,33,8,1,16,52,3.5%,https://mizuumi.wiki/images/a/ac/MB_C-Akiha_214AB.png,
Akiha,Half_Moon,H-Akiha,Piercing the Moon(EX: Piercing the Waxing Moon) ([B]),500*2 (797),(766),70% (O),-,LH,46,"4, 4",1,18,52,3.5%*2 (7.0%),https://mizuumi.wiki/images/a/ac/MB_C-Akiha_214AB.png,
Akiha,Half_Moon,H-Akiha,Piercing the Moon(EX: Piercing the Waxing Moon) (EX),380*8 (2422),(1528),100%,-,LH,2+24,1 x8,22,1,52,-100.0%,https://mizuumi.wiki/images/a/ac/MB_C-Akiha_214AB.png,
Akiha,Half_Moon,H-Akiha,Maximizing Beasts (A),300*3 (802),(306),100%,-,LHA,49,"1, 1, 1",0,-,51,2.1%*3 (6.3%),https://mizuumi.wiki/images/1/18/MB_H-Akiha_22A.png,
Akiha,Half_Moon,H-Akiha,Maximizing Beasts (B),300*3 (802),(306),100%,-,LHA,54,"1, 1, 1",2,-,51,2.1%*3 (6.3%),https://mizuumi.wiki/images/1/18/MB_H-Akiha_22A.png,
Akiha,Half_Moon,H-Akiha,Maximizing Beasts (EX),300*6 (1492),(1433),100%,-,LHA,2+36,17,49,-,51,-100.0%,https://mizuumi.wiki/images/1/18/MB_H-Akiha_22A.png,
Akiha,Half_Moon,H-Akiha,Brilliant Impetus - Temporary String (A),1200,960,70% (O),-,LHA,54 ~ 112,5,Until Landing+18,-,76,7.0%,https://mizuumi.wiki/images/f/ff/MB_H-Akiha_j.236AB.png,
Akiha,Half_Moon,H-Akiha,Brilliant Impetus - Temporary String (B),1200,960,70% (O),-,LHA,60 ~ 118,5,Until Landing+18,-,76,7.0%,https://mizuumi.wiki/images/f/ff/MB_H-Akiha_j.236AB.png,
Akiha,Half_Moon,H-Akiha,Brilliant Impetus - Temporary String (EX),2000,1344,70% (O),-,LHA,2+50 ~ 2+108,5,Until Landing+18,-,76,-100.0%,https://mizuumi.wiki/images/f/ff/MB_H-Akiha_j.236AB.png,
Akiha,Half_Moon,H-Akiha,Maximizing Beasts (Air) (A/B),300*3 (802),(306),100%,-,LHA,47,"1, 1, 1",Until Landing+0,-,39,2.1%*3 (6.3%),https://mizuumi.wiki/images/1/18/MB_H-Akiha_22A.png,
Akiha,Half_Moon,H-Akiha,Maximizing Beasts (Air) (EX),300*6 (1492),(1433),100%,-,LHA,1+37,17,Until Landing+0,-,39,-100.0%,https://mizuumi.wiki/images/1/18/MB_H-Akiha_22A.png,
Akiha,Half_Moon,H-Akiha,Red Mistress - Locks of Hair ((Throw) (Strike)),450*23 (3515) 300*13 (1550),(2241) (1241),50% (O),-,A LHA,3+1,"1 (4), 2 x13",44,-31 ~ -9,78,removes all,https://mizuumi.wiki/images/1/1f/MB_H-Akiha_AD_Throw.png,
Akiha,Crescent_Moon,C-Akiha,5A,300,117,75% (O),"-SE-, -N-, -SP-, -EX-, (J)",LH,5,3,8,1,15,3.0%,https://mizuumi.wiki/images/a/a9/C-Akiha5A.png,
Akiha,Crescent_Moon,C-Akiha,5B (5B),650,392,100%,"N, SP, -CH-, EX, (J)",LH,8,4,14,-3,25,6.0%,https://mizuumi.wiki/images/f/f6/C-Akiha5B.png,
Akiha,Crescent_Moon,C-Akiha,5B (5[B]),650*3 (1888),(1138),100%,"N, SP, -CH-, EX, (J)",LH,21,"1, 4, 4",8,3,25,6.0%*3 (18.0%),https://mizuumi.wiki/images/f/f6/C-Akiha5B.png,
Akiha,Crescent_Moon,C-Akiha,5B (~B),400,196,70% (O),"N, SP, EX, (J)",LH,8,4,20,-6,25,2.0%,https://mizuumi.wiki/images/f/f6/C-Akiha5B.png,
Akiha,Crescent_Moon,C-Akiha,5C,1000,686,90% (M),"N, SP, EX, (J)",LH,11,6,15,-3,31,8.0%,https://mizuumi.wiki/images/8/81/C-Akiha5C.png,
Akiha,Crescent_Moon,C-Akiha,2A,350,147,75% (O),"-SE-, -N-, -SP-, -EX-, (J)",L,5,4,8,0,16,4.0%,https://mizuumi.wiki/images/c/c3/C-Akiha2a.png,
Akiha,Crescent_Moon,C-Akiha,2B (2B),500,254,85% (O),"N, SP, -CH-, EX, (J)",LH,7,4,15,-4,25,5.0%,https://mizuumi.wiki/images/b/ba/C-Akiha2B.png,
Akiha,Crescent_Moon,C-Akiha,2B (~2B),400,196,100%,"N, SP, -CH-, EX, (J)",LA,8,4,9,2,25,4.0%,https://mizuumi.wiki/images/b/ba/C-Akiha2B.png,
Akiha,Crescent_Moon,C-Akiha,2B (~2B~2B),500,588,75% (O),J,HA,28,4,18,-5,25,6.0%,https://mizuumi.wiki/images/b/ba/C-Akiha2B.png,
Akiha,Crescent_Moon,C-Akiha,2C (2C),900,490,55% (O),"N, SP, EX, (J)",L,8,4,25,-11,36,7.0%,https://mizuumi.wiki/images/6/63/Akiha_2C.png,
Akiha,Crescent_Moon,C-Akiha,2C (2[C]),900,784,55% (O),"N, SP, EX, (J)",L,20,5,25,-12,36,7.0%,https://mizuumi.wiki/images/6/63/Akiha_2C.png,
Akiha,Crescent_Moon,C-Akiha,j.A,350,196,75% (O),"SE, N, SP, EX, J",LHA,6,4,11,-,20,3.0%,https://mizuumi.wiki/images/2/20/Caki_ja.png,
Akiha,Crescent_Moon,C-Akiha,j.B,"400, 500 (859)",(525),95%*2 (M),"N, SP, EX, J",HA,6,"2, 6",-,-,13,"4.0%, 6.0% (10.0%)",https://mizuumi.wiki/images/8/89/Cakiha_jb.png,
Akiha,Crescent_Moon,C-Akiha,j.C,1000,490,90% (O),"N, SP, EX, J",HA,8,8,-,-,15,10.0%,https://mizuumi.wiki/images/2/2a/Cakiha_jc.png,
Akiha,Crescent_Moon,C-Akiha,4C,500*2 (887),(608),80% (O),"N, SP, EX, (J)",LH,8,"2, 2",26,-10,37,"7.0%, 9.0% (16.0%)",https://mizuumi.wiki/images/b/b9/Akiha_4c.png,
Akiha,Crescent_Moon,C-Akiha,6C,600,392,80% (O),"N, SP, EX, (J)",LH,8,4,22,-8,33,8.0%,https://mizuumi.wiki/images/6/60/Akiha_6c.png,
Akiha,Crescent_Moon,C-Akiha,j.2C,800,539,55% (O),"N, SP, EX, (J)",HA,17,2,-,10 (TK),18,11.0%,https://mizuumi.wiki/images/7/75/Cakiha_j2c.png,
Akiha,Crescent_Moon,C-Akiha,Ground Throw,200*7 (1266),(595),100%,-,U,3,1,22,-,25,0.0%,https://mizuumi.wiki/images/a/af/MB_C-Akiha_Throw.png,
Akiha,Crescent_Moon,C-Akiha,Air Throw,1600 (Raw) 1000,474,30%,-,U,2,1,Until Landing+12,-,14,-,https://mizuumi.wiki/images/0/05/MB_C-Akiha_Throw_Air.png,
Akiha,Crescent_Moon,C-Akiha,Shield Bunker (Bunker),500,196,100%,-,LHA,26,4,19,-5,48,0.0% (-50.0% in blockstun),https://mizuumi.wiki/images/9/94/MB_C-Akiha_214D.png,
Akiha,Crescent_Moon,C-Akiha,Shield Bunker ((Clash)),500,196,100%,-,LHA,7,4,19,-5,48,0.0%/-50.0%,https://mizuumi.wiki/images/9/94/MB_C-Akiha_214D.png,
Akiha,Crescent_Moon,C-Akiha,Heat,100,0,100%,-,U,17,8,25,-,49,-100.0% (min),https://wiki.gbl.gg/images/8/83/MB_C-Akiha_ABC.png,
Akiha,Crescent_Moon,C-Akiha,Circuit Spark (Ground),100,0,100%,-,U,11,10,20,-,40,removes all,https://mizuumi.wiki/images/e/e2/MB_C-Akiha_CSpark.png,
Akiha,Crescent_Moon,C-Akiha,Circuit Spark (Air),100,0,100%,-,U,12,10,Until Landing+15,-,40,removes all,https://mizuumi.wiki/images/e/e2/MB_C-Akiha_CSpark.png,
Akiha,Crescent_Moon,C-Akiha,Felling Birds(EX: Felling Emptily Fluttering Birds) (A),400*3 (932),(684),70% (O),-EX-,LHA,16,"2, 2, 2",20,-4,41,4.0%*3 (12.0%),https://mizuumi.wiki/images/a/a3/MB_C-Akiha_236_Startup.png,
Akiha,Crescent_Moon,C-Akiha,Felling Birds(EX: Felling Emptily Fluttering Birds) ([A]),800,490,50% (O),-EX-,LHA,31,8,12,-2,41,7.0%,https://mizuumi.wiki/images/a/a3/MB_C-Akiha_236_Startup.png,
Akiha,Crescent_Moon,C-Akiha,Felling Birds(EX: Felling Emptily Fluttering Birds) (B),1000,784,70% (O),-EX-,LHA,10,6,29,-20,41,11.0%,https://mizuumi.wiki/images/a/a3/MB_C-Akiha_236_Startup.png,
Akiha,Crescent_Moon,C-Akiha,Felling Birds(EX: Felling Emptily Fluttering Birds) (EX),200*24 (2921),(1848),70% (O),-,LHA,2+19,36,14,16 (vs Stand.) 17 (vs Crouch.),41,-100.0%,https://mizuumi.wiki/images/a/a3/MB_C-Akiha_236_Startup.png,
Akiha,Crescent_Moon,C-Akiha,Brilliant Impetus - Autumn Leaves (A),"600, 800 (1282)",(545),100%,-,"LH, LHA",6,7 (3) 4,27,-13,46,"6.0%, 8.0% (14.0%)",https://mizuumi.wiki/images/0/0c/MBAACC_C-Akiha_623a.png,
Akiha,Crescent_Moon,C-Akiha,Brilliant Impetus - Autumn Leaves (B),"400*2, 600, 800 (1987)",(763),100%,EX (1-2),"LH (1-3), LHA (4)",9,2 (4) 2 (13) 3 (7) 4,33,-17,46,"4.0%*2, 6.0%, 8.0% (22.0%)",https://mizuumi.wiki/images/0/0c/MBAACC_C-Akiha_623a.png,
Akiha,Crescent_Moon,C-Akiha,Brilliant Impetus - Autumn Leaves (EX),"400, 1000, 1500 (1502)",(1059),"50% (O), 45% (O)","(N), (SP), (EX), (J)","LH (1-3), LHA (4)",4+3,2 (4) 5 (3) 2 (3) 5 (7) 4,43,-29,46,-100.0%,https://mizuumi.wiki/images/0/0c/MBAACC_C-Akiha_623a.png,
